nodeId	coords	edges
4868611_0	[47.389416032177216, 8.539072362236075, 494.64083113893867]	['4868607_0', '4863751_0', '4865053_5']
6114169_0	[47.36481087142137, 8.532763150651753, 456.291296842508]	['4862686_1', '6117176_0', '4861026_0']
6128434_10	[47.38726212886724, 8.540900704976835, 499.07369425613433]	['6128441_0', '6128414_0', '6128434_0']
4858530_0	[47.37017726418989, 8.548894632996515, 470.8408471615985]	['6245482_0', '4858530_6', '6245485_0']
4858530_6	[47.37043492178155, 8.549127010144062, 470.87393132131547]	['6245485_0', '4858530_0', '6245482_0']
4859139_4	[47.36919696243157, 8.512980146361894, 473.27359246555716]	['4869777_10', '4858140_5', '6112690_3', '4858539_0']
6265783_1	[47.387857442486705, 8.527025476600437, 457.8660856997594]	['4861611_1', '4861619_2', '4868631_0', '4863761_5']
6234146_1	[47.38967665150069, 8.511811742320452, 449.98255099821836]	['4867354_6']
4861370_0	[47.37780418873828, 8.529837360296623, 456.262875049375]	['4858271_0', '4861369_0', '4862269_0']
6244924_6	[47.37504610149822, 8.533997489821466, 453.23898565396667]	['4858194_0', '6115943_0', '6244924_22', '6244911_0']
4858576_0	[47.38285868676243, 8.53236174400532, 453.1439546830952]	['4858570_0', '4858585_2', '4858572_0', '4861688_0']
6112502_0	[47.36984870309693, 8.520076333161256, 461.17473962996155]	['4862100_4', '6112503_0', '6112506_0', '4862100_0', '6112508_3']
4865396_1	[47.37617605017343, 8.529727470993457, 456.9742942377925]	['4858950_1', '6388634_0', '4862286_0']
6166640_0	[47.380254403557245, 8.520632563808025, 456.2346465047449]	['4868741_6', '6166639_8', '4865359_0']
6389779_0	[47.362621085296304, 8.535371862997117, 455.17645728122443]	['6114122_0']
4858539_0	[47.36976748413403, 8.51369092084553, 470.1643697442487]	['4858539_4', '4866239_5', '6112694_1', '4859139_4']
4858539_4	[47.370224564998075, 8.51321667326011, 467.5396370003]	['6048764_0', '4858539_0', '4866242_3', '4862091_0']
6128217_4	[47.385764522511764, 8.546742631520605, 521.2277711685747]	['4856931_0', '4857987_0', '6128221_0']
4859449_4	[47.365293490718244, 8.519726396975079, 464.1821367973462]	['4859449_0', '4862691_3', '6112578_7']
4859449_0	[47.365860006715806, 8.51981300993562, 463.50955194886774]	['4859449_4', '4861000_7', '4860994_0', '4860993_0']
4860396_0	[47.378475185421, 8.527001851901918, 456.5069520305842]	['4865761_2', '4858267_4', '4858274_2', '4861350_3']
6037032_0	[47.38174863247211, 8.513307926642359, 455.1880480023101]	['6037030_4', '4858590_0', '6037030_0']
4863556_4	[47.39084542189743, 8.533104813008462, 477.1530533237383]	['4857964_4']
6233869_2	[47.39064618856853, 8.514098469553733, 449.9216866772622]	['6233867_6']
6233955_1	[47.38964582138638, 8.513062505721132, 455.6393772987649]	['6233955_2', '6233870_6', '6233867_0', '6233954_4']
6233955_2	[47.389456984844735, 8.513018343745294, 455.69192196428776]	['6233955_1', '6037039_2', '6234482_0', '6234481_1']
6127903_11	[47.37963472454797, 8.54323984901481, 462.45353089272976]	['6388574_0', '6127917_0', '6127900_3']
4869758_6	[47.367517307753886, 8.552480070788265, 472.0552611099556]	['4859149_0', '4864582_3', '6388680_5']
4860995_2	[47.36563663272117, 8.532419987233352, 456.43545946944505]	['4861009_1', '4862220_0', '4864625_5']
4865795_0	[47.37540233718224, 8.541877964832745, 456.0551035553217]	['4865795_4', '4858189_0', '4868917_0']
